 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...
 123    106.500      0.279    3    1   0.000  0.2565E-01  16.393
 122    106.000      0.278    3    1   0.000  0.2591E-01  16.343
 121    105.500      0.276    3    1   0.000  0.2617E-01  16.292
 120    105.000      0.274    3    1   0.000  0.2643E-01  16.242
 119    104.500      0.273    3    1   0.000  0.2669E-01  16.192
 118    104.000      0.271    3    1   0.000  0.2695E-01  16.142
 117    103.500      0.270    3    1   0.000  0.2721E-01  16.091
 116    103.000      0.268    3    1   0.000  0.2747E-01  16.041
 115    102.500      0.266    3    1   0.000  0.2772E-01  15.991
 114    102.000      0.265    3    1   0.000  0.2798E-01  15.941
 113    101.500      0.263    3    1   0.000  0.2824E-01  15.890
 112    101.000      0.262    3    1   0.000  0.2850E-01  15.840
 111    100.500      0.260    4    1   0.000  0.2876E-01  15.790
 110    100.000      0.266    4    1   0.000  0.2903E-01  15.738
 109     99.500      0.272    4    1   0.000  0.2929E-01  15.686
 108     99.000      0.278    4    1   0.000  0.2956E-01  15.634
 107     98.500      0.284    4    1   0.000  0.2982E-01  15.582
 106     98.000      0.290    4    1   0.000  0.3009E-01  15.530
 105     97.500      0.296    4    1   0.000  0.3035E-01  15.478
 104     97.000      0.302    4    1   0.000  0.3061E-01  15.426
 103     96.500      0.308    4    1   0.000  0.3088E-01  15.374
 102     96.000      0.314    4    1   0.000  0.3114E-01  15.322
 101     95.500      0.320    5    1   0.000  0.3141E-01  15.270
 100     95.000      0.319    5    1   0.000  0.3162E-01  15.229
  99     94.500      0.319    5    1   0.000  0.3183E-01  15.189
  98     94.000      0.318    5    1   0.000  0.3204E-01  15.148
  97     93.500      0.318    5    1   0.000  0.3225E-01  15.108
  96     93.000      0.317    5    1   0.000  0.3245E-01  15.067
  95     92.500      0.317    5    1   0.000  0.3266E-01  15.027
  94     92.000      0.316    5    1   0.000  0.3287E-01  14.986
  93     91.500      0.316    5    1   0.000  0.3308E-01  14.946
  92     91.000      0.315    5    1   0.000  0.3329E-01  14.905
  91     90.500      0.315    5    1   0.000  0.3350E-01  14.865
  90     90.000      0.314    5    1   0.000  0.3371E-01  14.824
  89     89.000      0.313    5    1   0.000  0.3413E-01  14.743
  88     88.000      0.312    5    1   0.000  0.3454E-01  14.662
  87     87.000      0.311    5    1   0.000  0.3496E-01  14.581
  86     86.000      0.310    6    1   0.000  0.3538E-01  14.500
  85     85.000      0.309    6    1   0.000  0.3564E-01  14.449
